Product Name,Sizes,Sizes Group,Sizes Group Count
מזרק מים 5*30 עבה דיספליי,one size,700455345798571475,877
לבריכה חיה מתנפחת קופסא,one size,700455345798571475,877
כלי ים משפך איכותי חדש,one size,700455345798571475,877
כלי ים רכבת,one size,700455345798571475,877
כלי ים משאית,one size,700455345798571475,877
כלי ים משאית+כלים,one size,700455345798571475,877
כוס עם הפתעה,one size,700455345798571475,877
יצירה מדבקות שחור חופשה נעימה,one size,700455345798571475,877
יצירה טושים חופשה נעימה,one size,700455345798571475,877
חוברת צביעה חופשה נעימה,one size,700455345798571475,877
גלגל ים גדול 90,one size,700455345798571475,877
גלגל ים איכותי 90,one size,700455345798571475,877
גלגל ים איכותי 80,one size,700455345798571475,877
בלוני מים חדש,one size,700455345798571475,877
בלוני מים 50 יח' דיספליי,one size,700455345798571475,877
בלוני מים 100 יח',one size,700455345798571475,877
מזרק מים 50*5 עבה,one size,700455345798571475,877
נמעכים רובוט,one size,700455345798571475,877
נמעכים חיות כלב,one size,700455345798571475,877
נמעכים חיות ברבור,one size,700455345798571475,877
נמעכים דינוזאור,one size,700455345798571475,877
להיט ספינר חדש בליסטר,one size,700455345798571475,877
כדור לחץ תמנון,one size,700455345798571475,877
"זיקוק במארז זוגי  18ס""מ",one size,700455345798571475,877
מגף עבודה בייסיק S3,"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14
FREE FLOW,one size,700455345798571475,877
בנדנה צבעונית,one size,700455345798571475,877
פאוץ' צבעוני נצנצים,one size,700455345798571475,877
מגבעת לגבר,one size,700455345798571475,877
מסכת פנים דרייפיט,one size,700455345798571475,877
קולפן 3 באחד,one size,700455345798571475,877
קופסה פח רטרו בודד,one size,700455345798571475,877
משקל מטבח TERMA,one size,700455345798571475,877
מספריים לילדים,one size,700455345798571475,877
מארז כבל הטענה 20 יח',one size,700455345798571475,877
אטבים סיליקון,one size,700455345798571475,877
"קרחום לצידנית 200 מ""ל",one size,700455345798571475,877
"פינג'ן נירוסטה 850 מ""ל",one size,700455345798571475,877
